application_id,Interview taken on (date) ,Interview taken on (time),Status,Gender,Department,Post Name,Offered Salary,Salary Range,
19536,09-05-2014,15:56:07,Hired,Male,Service Department,c9,57627,40001 - 80000,
19895,14-08-2014,15:47:42,Hired,Female,Sales Department,c9,9900,0 - 20000,
20051,29-07-2014,14:44:34,Rejected,Female,General Management,i7,69015,40001 - 80000,
20274,23-08-2014,08:43:09,Hired,Male,Operations Department,c5,55305,40001 - 80000,
20388,16-07-2014,09:33:06,Rejected,Female,Operations Department,i6,69519,40001 - 80000,
20595,02-06-2014,13:08:22,Rejected,Male,Production Department,c8,57407,40001 - 80000,
20597,17-06-2014,09:49:05,Hired,Female,Operations Department,c5,35610,20001 - 40000,
20775,12-05-2014,08:31:03,Hired,Female,Operations Department,c9,8149,0 - 20000,
20989,29-07-2014,17:33:33,Rejected,Female,Sales Department,b9,85400,80001 - 100000,
21036,03-05-2014,11:49:54,Hired,Female,Service Department,c9,27348,20001 - 40000,
21133,19-05-2014,08:15:23,Hired,Male,Operations Department,i7,63863,40001 - 80000,
21396,20-08-2014,04:56:05,Rejected,Male,Operations Department,c10,16268,0 - 20000,
21454,10-07-2014,04:26:10,Rejected,Female,Operations Department,i7,73315,40001 - 80000,
21494,13-08-2014,09:34:50,Hired,Female,Service Department,c9,45046,40001 - 80000,
21822,26-06-2014,09:36:00,Hired,Female,Service Department,c5,33791,20001 - 40000,
21885,28-07-2014,13:30:04,Rejected,Male,Operations Department,c5,16216,0 - 20000,
21962,31-05-2014,07:29:28,Hired,Female,Service Department,c5,45367,40001 - 80000,
22030,06-08-2014,14:35:17,Rejected,Male,Operations Department,c10,51589,40001 - 80000,
22091,20-07-2014,09:19:25,Rejected,Female,Sales Department,c10,8843,0 - 20000,
22155,07-05-2014,16:26:40,Rejected,Female,Finance Department,b9,46852,40001 - 80000,
22595,18-06-2014,17:21:23,Hired,Male,Production Department,b9,92917,80001 - 100000,
22679,06-08-2014,18:47:49,Rejected,Male,Service Department,i7,53622,40001 - 80000,
22943,06-08-2014,11:58:09,Hired,Female,Service Department,b9,78504,40001 - 80000,
22963,02-06-2014,22:33:23,Rejected,Female,Operations Department,i4,53806,40001 - 80000,
23223,21-06-2014,21:54:03,Hired,Female,Service Department,i1,52526,40001 - 80000,
23469,14-07-2014,18:36:22,Rejected,Male,Sales Department,c9,31246,20001 - 40000,
23486,16-06-2014,00:38:16,Hired,Male,Operations Department,i7,44686,40001 - 80000,
23706,18-07-2014,15:39:07,Hired,Other's,Service Department,i7,43397,40001 - 80000,
23734,12-05-2014,09:37:50,Hired,Female,Purchase Department,b9,40903,40001 - 80000,
24006,05-06-2014,17:12:22,Rejected,Male,Operations Department,c5,37195,20001 - 40000,
24128,12-05-2014,09:31:25,Hired,Male,Purchase Department,i5,76512,40001 - 80000,
24143,15-08-2014,16:15:33,Rejected,Female,Service Department,c9,5040,0 - 20000,
24310,29-05-2014,12:24:59,Rejected,Male,Service Department,i4,63559,40001 - 80000,
24489,03-05-2014,17:04:45,Rejected,Female,Service Department,c9,41722,40001 - 80000,
24614,31-05-2014,04:37:17,Rejected,Male,Service Department,c9,69971,40001 - 80000,
24736,26-06-2014,17:36:38,Rejected,Female,Finance Department,i7,53664,40001 - 80000,
24745,22-06-2014,15:05:53,Hired,Male,Service Department,c8,38704,20001 - 40000,
24876,14-05-2014,10:24:46,Rejected,Other's,Service Department,b9,16843,0 - 20000,
24880,04-07-2014,08:34:01,Hired,Male,Operations Department,c5,18527,0 - 20000,
25028,21-05-2014,18:45:15,Rejected,Male,Service Department,c5,35787,20001 - 40000,
25030,30-05-2014,17:41:30,Rejected,Female,Operations Department,c9,10711,0 - 20000,
25349,07-06-2014,14:36:58,Hired,Male,Purchase Department,c5,49221,40001 - 80000,
25433,21-08-2014,13:05:56,Rejected,Female,Operations Department,i7,21126,20001 - 40000,
25669,23-05-2014,18:06:00,Hired,Male,Human Resource Department,i5,26741,20001 - 40000,
25694,25-08-2014,10:52:39,Hired,Male,Operations Department,c9,19035,0 - 20000,
25761,06-05-2014,09:31:46,Rejected,Male,Operations Department,i7,78769,40001 - 80000,
25908,11-07-2014,09:36:40,Hired,Female,Operations Department,i7,24723,20001 - 40000,
26091,23-06-2014,17:43:50,Rejected,Male,Sales Department,c10,58760,40001 - 80000,
26113,09-05-2014,12:49:24,Hired,Male,Service Department,c5,92688,80001 - 100000,
26159,08-08-2014,11:40:51,Hired,Male,Operations Department,i7,23320,20001 - 40000,
26472,13-05-2014,19:57:31,Hired,Male,Purchase Department,i6,43261,40001 - 80000,
26533,26-08-2014,09:32:25,Hired,Female,Marketing Department,i5,48205,40001 - 80000,
26542,05-05-2014,09:32:20,Hired,Female,Production Department,i5,63967,40001 - 80000,
26869,18-07-2014,15:06:40,Rejected,Male,Production Department,i1,33063,20001 - 40000,
27195,19-08-2014,09:31:56,Rejected,Female,Finance Department,i5,76851,40001 - 80000,
27372,11-08-2014,12:56:31,Hired,Male,Operations Department,c5,69108,40001 - 80000,
27581,04-06-2014,15:37:53,Hired,Male,Purchase Department,i7,63058,40001 - 80000,
27714,02-08-2014,16:16:22,Rejected,Female,Purchase Department,i7,4810,0 - 20000,
27767,05-06-2014,11:14:24,Rejected,Male,Marketing Department,c8,13319,0 - 20000,
27804,31-07-2014,08:16:51,Rejected,Female,Service Department,c5,99303,80001 - 100000,
27825,12-08-2014,09:49:38,Hired,Male,Operations Department,i6,23504,20001 - 40000,
28035,12-08-2014,08:25:54,Rejected,Male,Operations Department,i1,13179,0 - 20000,
28171,14-07-2014,09:33:33,Hired,Female,Sales Department,i7,5061,0 - 20000,
28310,22-07-2014,23:39:56,Hired,Male,Production Department,c9,90932,80001 - 100000,
28396,14-05-2014,16:34:39,Rejected,Female,Service Department,c9,72121,40001 - 80000,
28531,22-07-2014,18:34:33,Rejected,Male,Production Department,b9,14871,0 - 20000,
28537,05-05-2014,10:50:36,Hired,Male,Purchase Department,c5,56655,40001 - 80000,
28726,30-08-2014,11:07:17,Hired,Male,Service Department,b9,23670,20001 - 40000,
28774,02-07-2014,10:11:29,Hired,Male,Service Department,b9,73636,40001 - 80000,
28862,20-06-2014,00:06:18,Hired,Female,General Management,i7,77953,40001 - 80000,
29268,14-05-2014,12:12:47,Hired,Female,Service Department,i1,75015,40001 - 80000,
29295,17-06-2014,12:46:37,Hired,Male,Operations Department,c5,29213,20001 - 40000,
29574,22-05-2014,18:10:10,Rejected,Female,Sales Department,i5,45265,40001 - 80000,
29624,30-07-2014,08:31:16,Hired,Female,Purchase Department,c5,49845,40001 - 80000,
29644,18-07-2014,15:40:16,Hired,Other's,Service Department,i7,41989,40001 - 80000,
29691,20-07-2014,06:25:39,Hired,Female,Operations Department,c5,39578,20001 - 40000,
29717,11-06-2014,14:11:47,Hired,Male,Service Department,c5,99345,80001 - 100000,
29796,21-05-2014,08:57:03,Rejected,Male,Service Department,i4,31993,20001 - 40000,
30311,27-08-2014,19:32:42,Rejected,Male,Marketing Department,b9,97146,80001 - 100000,
30555,20-06-2014,07:15:47,Rejected,Male,Operations Department,c9,72872,40001 - 80000,
30935,15-07-2014,09:37:51,Hired,Female,Production Department,c5,45342,40001 - 80000,
31205,28-07-2014,13:28:59,Hired,Female,Operations Department,c5,16119,0 - 20000,
31391,08-08-2014,22:30:23,Rejected,Male,Sales Department,c9,64676,40001 - 80000,
31422,12-06-2014,09:31:54,Hired,Male,Operations Department,b9,8371,0 - 20000,
31461,26-07-2014,17:49:09,Hired,Male,Service Department,c9,70509,40001 - 80000,
31629,13-05-2014,09:31:59,Hired,Male,Service Department,c9,88166,80001 - 100000,
31994,24-07-2014,09:00:54,Hired,Female,Service Department,i5,95933,80001 - 100000,
32072,23-07-2014,09:35:07,Hired,Male,Operations Department,c8,71040,40001 - 80000,
32223,19-05-2014,09:37:19,Rejected,Female,Finance Department,i1,27855,20001 - 40000,
32662,27-06-2014,17:48:19,Hired,Male,Operations Department,c5,50528,40001 - 80000,
32890,07-05-2014,16:18:48,Rejected,Female,Operations Department,c5,68601,40001 - 80000,
32896,15-08-2014,07:22:28,Hired,Other's,Service Department,i7,23667,20001 - 40000,
33296,30-05-2014,19:15:14,Hired,Male,Service Department,i5,82128,80001 - 100000,
33341,31-05-2014,00:46:52,Rejected,Male,Service Department,c5,91576,80001 - 100000,
33558,04-06-2014,07:57:13,Rejected,Male,Operations Department,b9,99019,80001 - 100000,
33827,04-06-2014,09:35:00,Hired,Male,Production Department,i5,88308,80001 - 100000,
34179,19-06-2014,09:33:40,Rejected,Female,Operations Department,c9,43792,40001 - 80000,
34205,08-05-2014,13:49:22,Rejected,Female,Service Department,i7,57989,40001 - 80000,
34301,03-08-2014,09:15:56,Rejected,Other's,Operations Department,c9,77654,40001 - 80000,
34378,21-05-2014,14:21:33,Rejected,Female,Service Department,i7,80894,80001 - 100000,
34542,16-07-2014,09:09:30,Hired,Female,Service Department,i5,16544,0 - 20000,
34818,08-05-2014,10:50:09,Hired,Male,Service Department,c9,10523,0 - 20000,
34849,25-07-2014,13:16:51,Hired,Female,Finance Department,c5,97421,80001 - 100000,
34851,08-08-2014,18:23:51,Hired,Female,Service Department,c5,46299,40001 - 80000,
34917,01-08-2014,15:10:20,Hired,Other's,Production Department,c5,48625,40001 - 80000,
35024,06-08-2014,15:16:05,Hired,Male,Service Department,i7,39563,20001 - 40000,
35155,26-06-2014,17:43:40,Rejected,Male,Sales Department,c5,10428,0 - 20000,
35325,16-07-2014,12:50:50,Hired,Female,Finance Department,c9,69857,40001 - 80000,
35352,23-05-2014,09:37:28,Hired,Male,Operations Department,i5,36358,20001 - 40000,
35410,12-06-2014,12:53:54,Rejected,Other's,Service Department,c9,75940,40001 - 80000,
35482,20-06-2014,17:12:05,Hired,Male,Service Department,i5,31893,20001 - 40000,
35660,18-07-2014,09:32:53,Hired,Female,Operations Department,b9,21568,20001 - 40000,
35872,23-06-2014,17:53:24,Hired,Other's,Operations Department,i5,2963,0 - 20000,
35902,05-07-2014,11:18:03,Hired,Male,Operations Department,c5,12508,0 - 20000,
36010,05-08-2014,10:28:03,Rejected,Male,Sales Department,c9,80523,80001 - 100000,
36448,11-07-2014,14:51:59,Hired,Female,Sales Department,c5,82207,80001 - 100000,
36504,25-07-2014,10:08:21,Rejected,Male,Operations Department,i7,21554,20001 - 40000,
36675,09-07-2014,19:04:58,Hired,Male,Service Department,c10,8866,0 - 20000,
36737,27-08-2014,21:32:15,Rejected,Male,Purchase Department,i7,15656,0 - 20000,
36783,30-08-2014,13:17:20,Hired,Female,Operations Department,i7,96163,80001 - 100000,
36851,21-08-2014,08:56:54,Hired,Female,Operations Department,c5,6718,0 - 20000,
37024,05-06-2014,18:13:57,Hired,Female,Operations Department,c5,93106,80001 - 100000,
37073,05-05-2014,19:37:25,Hired,Female,Purchase Department,i7,51645,40001 - 80000,
37098,30-05-2014,06:53:49,Hired,Female,Operations Department,c5,23249,20001 - 40000,
37220,02-07-2014,10:09:11,Hired,Female,Service Department,b9,43038,40001 - 80000,
37226,22-05-2014,09:15:14,Rejected,Male,Production Department,c5,55893,40001 - 80000,
37621,01-08-2014,22:05:48,Rejected,Male,Operations Department,c5,16102,0 - 20000,
37753,29-06-2014,09:43:57,Rejected,Male,Service Department,i7,11374,0 - 20000,
37906,08-05-2014,03:16:01,Hired,Female,Sales Department,i4,95603,80001 - 100000,
37962,15-07-2014,09:32:23,Hired,Male,Service Department,c8,9524,0 - 20000,
38154,17-07-2014,12:26:33,Hired,Male,Marketing Department,b9,2054,0 - 20000,
38289,04-08-2014,09:32:57,Hired,Other's,Purchase Department,c9,19802,0 - 20000,
38475,28-07-2014,09:34:35,Hired,Female,Service Department,i7,47672,40001 - 80000,
38906,11-07-2014,17:15:10,Hired,Female,Operations Department,c9,83336,80001 - 100000,
38914,15-07-2014,09:31:21,Hired,Female,General Management,c5,43261,40001 - 80000,
39010,29-08-2014,11:41:40,Hired,Male,Marketing Department,c5,14304,0 - 20000,
39036,05-05-2014,11:41:14,Rejected,Male,Operations Department,i4,98622,80001 - 100000,
39116,24-06-2014,00:33:40,Rejected,Male,Operations Department,b9,58099,40001 - 80000,
39266,06-06-2014,17:28:35,Rejected,Male,Service Department,c5,22817,20001 - 40000,
39698,16-05-2014,17:38:11,Hired,Female,Operations Department,c5,65144,40001 - 80000,
39931,20-06-2014,09:48:18,Hired,Male,Operations Department,i7,26508,20001 - 40000,
40000,23-06-2014,15:39:37,Hired,Male,Purchase Department,c5,32333,20001 - 40000,
40034,02-06-2014,09:33:59,Rejected,Female,Operations Department,i7,57420,40001 - 80000,
40370,28-08-2014,18:41:44,Hired,Male,Service Department,c5,32682,20001 - 40000,
40385,19-05-2014,14:28:13,Hired,Male,Operations Department,i4,1986,0 - 20000,
41350,11-08-2014,08:31:56,Hired,Male,Operations Department,c5,55365,40001 - 80000,
41523,02-05-2014,18:58:46,Hired,Female,Operations Department,i5,78389,40001 - 80000,
41532,21-06-2014,02:12:38,Rejected,Male,Sales Department,b9,48222,40001 - 80000,
41553,18-07-2014,08:44:45,Hired,Female,Operations Department,c5,81122,80001 - 100000,
41558,29-07-2014,07:34:47,Hired,Female,Purchase Department,b9,89179,80001 - 100000,
41585,03-06-2014,15:39:46,Hired,Female,Purchase Department,c5,6101,0 - 20000,
41617,06-06-2014,16:02:37,Hired,Male,Operations Department,i6,24715,20001 - 40000,
41757,28-05-2014,14:28:14,Hired,Female,Operations Department,c9,53360,40001 - 80000,
41870,27-08-2014,01:56:23,Rejected,Male,Sales Department,c5,10994,0 - 20000,
41899,15-08-2014,16:15:30,Rejected,Female,Purchase Department,i5,18593,0 - 20000,
42048,26-06-2014,14:55:33,Hired,Female,Operations Department,i1,32638,20001 - 40000,
42449,08-07-2014,11:49:02,Rejected,Male,Service Department,b9,80398,80001 - 100000,
42554,26-08-2014,18:48:54,Rejected,Male,Service Department,i7,88767,80001 - 100000,
42630,16-05-2014,17:56:56,Hired,Male,Operations Department,i6,66430,40001 - 80000,
42714,22-07-2014,09:31:33,Hired,Male,Operations Department,c9,23116,20001 - 40000,
43025,13-08-2014,08:40:41,Rejected,Male,Operations Department,c9,81934,80001 - 100000,
43558,26-05-2014,17:54:09,Hired,Female,Service Department,c10,24867,20001 - 40000,
43618,20-06-2014,10:25:00,Rejected,Other's,Operations Department,c8,4341,0 - 20000,
44114,03-06-2014,15:12:09,Hired,Female,Operations Department,c9,23746,20001 - 40000,
44559,15-07-2014,15:41:22,Hired,Male,Operations Department,i5,85386,80001 - 100000,
44589,07-08-2014,13:39:10,Hired,Male,Service Department,i1,11611,0 - 20000,
44896,29-07-2014,09:34:17,Rejected,Male,Operations Department,i7,68297,40001 - 80000,
44958,26-05-2014,09:32:12,Hired,Other's,Finance Department,i5,89241,80001 - 100000,
45142,24-06-2014,12:36:04,Hired,Male,Human Resource Department,i5,73568,40001 - 80000,
45162,19-05-2014,00:05:18,Hired,Other's,Operations Department,i4,1212,0 - 20000,
45185,14-07-2014,19:21:48,Rejected,Male,Service Department,i5,13125,0 - 20000,
45301,09-05-2014,12:30:25,Rejected,Female,General Management,i5,74863,40001 - 80000,
45384,25-06-2014,19:28:54,Hired,Male,Operations Department,c8,38098,20001 - 40000,
45501,13-05-2014,11:15:21,Rejected,Other's,Operations Department,i6,50296,40001 - 80000,
45512,02-06-2014,11:11:06,Hired,Male,Service Department,c5,52261,40001 - 80000,
45586,01-05-2014,09:34:50,Rejected,Male,Operations Department,c5,64300,40001 - 80000,
45706,02-07-2014,17:23:22,Hired,Male,Service Department,c9,24144,20001 - 40000,
45708,12-08-2014,09:35:17,Hired,Female,Operations Department,c9,12735,0 - 20000,
45861,21-07-2014,18:58:27,Rejected,Male,Operations Department,c10,26063,20001 - 40000,
45977,10-07-2014,09:52:03,Rejected,Female,Finance Department,i6,13802,0 - 20000,
46052,18-06-2014,17:17:18,Hired,Male,Production Department,b9,20727,20001 - 40000,
46102,15-05-2014,17:35:36,Hired,Male,Purchase Department,i7,88218,80001 - 100000,
46106,25-06-2014,13:49:16,Rejected,Female,Finance Department,c9,11948,0 - 20000,
46345,24-06-2014,15:50:46,Hired,Female,Marketing Department,c8,24987,20001 - 40000,
46366,09-05-2014,08:05:01,Rejected,Female,Service Department,c5,93217,80001 - 100000,
46552,10-07-2014,09:31:43,Hired,Female,Production Department,i7,51636,40001 - 80000,
46756,15-08-2014,09:32:19,Hired,Female,Production Department,c9,40276,40001 - 80000,
46840,06-05-2014,15:53:26,Rejected,Female,Sales Department,i6,11865,0 - 20000,
46893,04-07-2014,09:17:38,Rejected,Male,Sales Department,i7,92525,80001 - 100000,
47535,26-07-2014,14:12:42,Hired,Female,Production Department,c9,94539,80001 - 100000,
47621,04-08-2014,09:06:20,Hired,Male,Service Department,c5,82645,80001 - 100000,
47707,18-08-2014,11:30:19,Rejected,Male,Operations Department,i7,11887,0 - 20000,
47755,27-06-2014,12:58:39,Hired,Male,Service Department,c5,56780,40001 - 80000,
47821,14-08-2014,18:36:35,Hired,Female,Sales Department,i7,47861,40001 - 80000,
47827,08-07-2014,09:34:24,Hired,Female,Service Department,c5,81721,80001 - 100000,
47857,01-05-2014,22:55:29,Rejected,Female,Operations Department,i1,38462,20001 - 40000,
47896,21-08-2014,17:44:34,Hired,Male,Service Department,b9,68553,40001 - 80000,
48374,13-05-2014,14:18:28,Hired,Male,Service Department,b9,8521,0 - 20000,
48454,12-05-2014,09:36:08,Hired,Female,Purchase Department,b9,23882,20001 - 40000,
48491,16-08-2014,15:12:48,Rejected,Male,Operations Department,c5,96871,80001 - 100000,
48507,22-06-2014,09:11:21,Rejected,Male,Service Department,c9,93685,80001 - 100000,
48877,30-07-2014,14:57:36,Rejected,Male,Service Department,i7,19444,0 - 20000,
48886,21-08-2014,18:05:29,Hired,Male,Service Department,i1,13051,0 - 20000,
48899,04-07-2014,18:27:05,Rejected,Male,Operations Department,c5,80594,80001 - 100000,
48952,25-07-2014,09:36:29,Hired,Female,Marketing Department,i5,95050,80001 - 100000,
49349,08-08-2014,16:06:10,Hired,Female,Sales Department,c5,97745,80001 - 100000,
49710,17-07-2014,09:31:22,Hired,Male,Operations Department,i7,91506,80001 - 100000,
49745,03-05-2014,17:01:04,Hired,Female,Service Department,c9,5236,0 - 20000,
49946,28-05-2014,11:48:51,Hired,Female,Service Department,c5,24540,20001 - 40000,
49980,15-07-2014,02:04:05,Rejected,Male,Operations Department,c9,92530,80001 - 100000,
50158,05-06-2014,18:13:19,Hired,Female,Operations Department,c5,26422,20001 - 40000,
50252,17-07-2014,07:51:17,Hired,Female,Operations Department,c9,36563,20001 - 40000,
50483,02-07-2014,12:18:46,Hired,Male,Operations Department,c9,6905,0 - 20000,
50750,24-05-2014,08:11:44,Hired,Male,Service Department,i6,14774,0 - 20000,
50753,11-08-2014,09:31:45,Hired,Male,Operations Department,i5,39343,20001 - 40000,
50851,04-06-2014,09:31:27,Hired,Male,Sales Department,c8,80984,80001 - 100000,
51030,06-06-2014,04:29:23,Rejected,Male,Operations Department,i5,61098,40001 - 80000,
51205,04-07-2014,08:07:29,Rejected,Other's,Operations Department,i5,51820,40001 - 80000,
51271,30-07-2014,17:01:05,Rejected,Male,Operations Department,i5,53754,40001 - 80000,
51314,20-05-2014,17:05:10,Hired,Female,General Management,c10,18661,0 - 20000,
51318,02-05-2014,08:07:08,Hired,Male,Service Department,i5,15134,0 - 20000,
51387,07-07-2014,09:32:05,Hired,Female,Sales Department,i5,9847,0 - 20000,
51463,23-06-2014,18:36:00,Hired,Female,Sales Department,c5,45578,40001 - 80000,
51522,04-06-2014,15:51:55,Hired,Female,Operations Department,c8,85294,80001 - 100000,
51662,25-08-2014,10:54:09,Rejected,Female,Operations Department,c9,38306,20001 - 40000,
52077,05-05-2014,09:35:46,Rejected,Female,Operations Department,c9,66442,40001 - 80000,
52097,21-07-2014,13:54:55,Hired,Male,Operations Department,i7,39274,20001 - 40000,
52314,25-07-2014,13:14:31,Rejected,Female,Finance Department,c5,17731,0 - 20000,
52355,29-06-2014,09:23:51,Hired,Male,Operations Department,c5,94543,80001 - 100000,
52457,12-05-2014,09:33:40,Rejected,Female,Operations Department,c5,79784,40001 - 80000,
52501,24-05-2014,17:15:11,Rejected,Female,Operations Department,i7,26686,20001 - 40000,
52581,25-06-2014,15:39:16,Rejected,Female,Operations Department,i5,8361,0 - 20000,
52782,26-05-2014,09:32:50,Hired,Male,Service Department,i5,27101,20001 - 40000,
52902,24-07-2014,10:58:00,Rejected,Male,Operations Department,c5,99229,80001 - 100000,
53039,01-07-2014,05:10:13,Rejected,Other's,Operations Department,i7,63585,40001 - 80000,
53065,27-06-2014,07:41:24,Hired,Male,Service Department,c5,66395,40001 - 80000,
53247,31-05-2014,13:51:02,Rejected,Male,Service Department,c9,45139,40001 - 80000,
53510,23-05-2014,09:31:15,Hired,Male,Operations Department,c5,54503,40001 - 80000,
53530,21-07-2014,13:17:24,Hired,Female,Service Department,c5,41568,40001 - 80000,
53569,28-07-2014,09:31:28,Hired,Male,Service Department,b9,52735,40001 - 80000,
53712,23-07-2014,08:13:40,Hired,Male,Production Department,b9,49049,40001 - 80000,
53766,16-07-2014,19:24:37,Rejected,Male,Sales Department,c10,16826,0 - 20000,
53774,08-05-2014,16:55:02,Rejected,Male,Operations Department,i6,31788,20001 - 40000,
53815,26-08-2014,19:53:42,Hired,Female,Service Department,c9,24908,20001 - 40000,
53873,21-05-2014,09:05:33,Hired,Male,Service Department,c9,79836,40001 - 80000,
53906,29-07-2014,09:35:33,Rejected,Female,Production Department,c5,54911,40001 - 80000,
54648,12-05-2014,09:34:38,Hired,Female,Operations Department,c5,83617,80001 - 100000,
54723,17-06-2014,12:48:26,Hired,Female,Operations Department,c5,53615,40001 - 80000,
54778,09-07-2014,22:53:42,Rejected,Other's,Sales Department,c9,25838,20001 - 40000,
54863,16-06-2014,07:19:01,Rejected,Female,Finance Department,i5,37678,20001 - 40000,
55110,15-08-2014,10:33:22,Rejected,Male,Operations Department,c10,82929,80001 - 100000,
55139,15-08-2014,09:36:08,Rejected,Female,Operations Department,i5,11588,0 - 20000,
55168,31-07-2014,09:34:03,Hired,Female,Service Department,i6,24756,20001 - 40000,
55307,08-07-2014,13:25:39,Rejected,Female,Finance Department,i5,65095,40001 - 80000,
55540,03-06-2014,22:49:14,Hired,Male,Service Department,b9,24829,20001 - 40000,
55660,29-07-2014,18:00:31,Hired,Male,Service Department,c5,44858,40001 - 80000,
55706,20-05-2014,13:35:46,Hired,Female,Finance Department,i7,86937,80001 - 100000,
55710,24-05-2014,15:01:21,Rejected,Female,Operations Department,c5,29794,20001 - 40000,
55751,18-07-2014,13:29:13,Hired,Female,Sales Department,c5,30743,20001 - 40000,
55764,27-08-2014,21:26:46,Hired,Female,Operations Department,c5,38047,20001 - 40000,
